309	310	pp
309	76	pp
308	297	pp
307	306	pp
307	223	pp
306	224	pp
306	280	pp
305	207	pp
300	151	pp
299	166	pp
297	298	pp
297	126	pp
296	254	pp
295	138	pp
294	128	pp
293	66	pp
291	143	pp
289	153	pp
288	164	pd
287	152	pd
286	259	pp
286	99	pp
286	304	pp
286	303	pp
286	302	pp
286	90	pp
286	301	pp
285	286	pp
285	258	pp
282	283	pp
282	83	pp
281	255	pp
281	185	pd
279	114	pp
279	113	pp
278	136	pd
277	269	pd
276	128	pp
275	276	pp
274	63	pp
273	274	pp
272	172	pd
272	169	pd
272	164	pp
271	183	pp
270	75	pp
269	164	pd
268	273	pp
268	280	pp
267	268	pp
267	232	pp
264	196	pp
263	264	pp
260	183	pp
260	116	pp
258	259	pp
257	190	pp
256	213	pd
256	145	pp
254	255	pp
253	84	pp
252	192	pd
251	182	pp
249	245	pp
248	75	pp
247	70	pp
241	117	pd
240	133	pd
240	164	pd
239	164	pd
238	86	pd
237	191	pp
236	237	pp
235	133	pd
234	235	pp
234	134	pp
232	233	pp
231	222	pd
230	142	pp
229	183	pp
228	216	pd
223	227	pp
223	226	pp
223	225	pp
223	224	pp
223	105	pp
222	96	pd
221	164	pd
220	271	pp
220	195	pp
220	104	pp
220	102	pp
219	220	pp
217	218	pp
216	119	pd
215	128	pp
211	214	pp
211	193	pp
211	213	pp
211	212	pp
210	184	pp
209	242	pd
209	266	pd
209	265	pd
209	224	pp
208	209	pd
207	105	pp
206	281	pp
206	230	pp
205	206	pp
204	101	pd
204	100	pd
204	205	pp
204	89	pd
204	88	pd
204	87	pd
203	147	pp
202	133	pd
202	139	pd
201	112	pp
200	196	pp
200	262	pp
200	261	pp
199	133	pp
198	266	pd
198	265	pd
197	198	pp
195	196	pp
192	194	pd
192	167	pd
192	193	pd
191	239	pp
191	176	pp
190	191	pp
189	242	pp
188	189	pp
185	187	pd
185	186	pd
184	164	pd
183	217	pp
183	218	pp
182	183	pp
181	177	pd
180	168	pp
180	164	pd
179	180	pp
178	181	pd
176	128	pp
174	175	pp
171	294	pp
171	221	pp
170	272	pd
170	73	pd
168	249	pp
164	172	pd
164	171	pd
164	170	pd
164	169	pd
164	168	pd
164	167	pd
164	166	pd
164	165	pd
163	133	pd
163	154	pd
163	157	pp
163	156	pp
162	173	pp
161	173	pp
161	105	pp
160	162	pp
160	161	pp
158	159	pp
157	154	pd
156	154	pd
152	155	pd
152	154	pd
152	153	pd
151	148	pp
150	171	pp
149	150	pp
147	144	pp
146	213	pd
145	146	pp
144	199	pp
143	144	pp
142	292	pp
141	215	pp
140	158	pp
138	142	pp
138	141	pp
138	140	pp
138	139	pp
136	234	pd
136	133	pd
136	154	pd
136	202	pd
136	131	pd
136	137	pd
136	135	pd
136	134	pd
136	234	pp
134	133	pd
133	228	pd
133	194	pd
133	91	pd
132	137	pd
132	136	pp
132	135	pd
132	134	pd
131	133	pd
131	132	pd
130	250	pd
129	128	pp
128	260	pp
128	115	pp
128	284	pp
126	129	pp
126	128	pp
126	127	pp
123	125	pp
123	124	pp
121	211	pp
117	122	pd
117	121	pd
117	120	pd
117	94	pd
117	119	pd
117	118	pd
115	116	pp
114	201	pp
113	65	pp
113	114	pp
110	112	pp
110	111	pp
110	91	pp
109	164	pd
108	243	pp
107	178	pd
107	177	pd
106	148	pp
105	109	pp
105	108	pp
105	107	pp
105	106	pp
104	103	pp
102	103	pp
94	139	pd
87	130	pd
86	101	pd
86	100	pd
86	99	pd
86	85	pd
86	98	pd
86	97	pd
86	96	pd
86	95	pp
86	94	pd
86	93	pd
86	92	pd
86	91	pd
86	90	pd
86	89	pd
86	88	pd
86	87	pd
85	204	pd
84	85	pp
82	83	pp
81	282	pp
81	174	pp
80	270	pp
80	248	pp
80	74	pp
79	200	pp
77	123	pp
76	81	pp
76	80	pp
76	75	pp
76	79	pp
76	78	pp
76	77	pp
74	75	pp
73	172	pd
73	169	pd
73	164	pp
73	165	pd
71	73	pp
71	72	pp
70	290	pp
70	205	pp
70	83	pp
69	70	pp
67	68	pp
66	246	pp
66	245	pp
66	244	pp
65	66	pp
64	65	pp
63	67	pp
62	63	pp
